"term","estimate","lower95","upper95","num_boots","park","resp"
"c3_response",NA,NA,NA,NA,"DEWA","Tree_Dens_ASITRI"
"Intercept",0.0239162373230933,NA,NA,NA,"DEWA","Sap_BA_FRAX"
"Slope",-0.00655678320313929,NA,NA,NA,"DEWA","Sap_BA_FRAX"
"c1_response",0.017359454119954,NA,NA,NA,"DEWA","Sap_BA_FRAX"
"c2_response",0.0108026709168147,NA,NA,NA,"DEWA","Sap_BA_FRAX"
"c3_response",0.00424588771367545,NA,NA,NA,"DEWA","Sap_BA_FRAX"
"Intercept",0.0256111142960569,0.00000879512451117706,0.0640192387945975,1000,"DEWA","Sap_BA_FAGGRA"
"Slope",0.0122911422015859,0.00378635238954666,0.0223471793672248,1000,"DEWA","Sap_BA_FAGGRA"
"c1_response",0.0379022564976428,0.00899237312287037,0.0769356047579223,1000,"DEWA","Sap_BA_FAGGRA"
"c2_response",0.0501933986992287,0.0156353588060933,0.0967053873742327,1000,"DEWA","Sap_BA_FAGGRA"
"c3_response",0.0624845409008145,0.0217283691721262,0.114160357117184,1000,"DEWA","Sap_BA_FAGGRA"
"Intercept",NA,NA,NA,NA,"DEWA","Sap_BA_TSUCAN"
"Slope",NA,NA,NA,NA,"DEWA","Sap_BA_TSUCAN"
"c1_response",NA,NA,NA,NA,"DEWA","Sap_BA_TSUCAN"
"c2_response",NA,NA,NA,NA,"DEWA","Sap_BA_TSUCAN"
"c3_response",NA,NA,NA,NA,"DEWA","Sap_BA_TSUCAN"
"Intercept",NA,NA,NA,NA,"DEWA","Sap_BA_ASITRI"
"Slope",NA,NA,NA,NA,"DEWA","Sap_BA_ASITRI"
"c1_response",NA,NA,NA,NA,"DEWA","Sap_BA_ASITRI"
"c2_response",NA,NA,NA,NA,"DEWA","Sap_BA_ASITRI"
"c3_response",NA,NA,NA,NA,"DEWA","Sap_BA_ASITRI"
"Intercept",0.00123749271980536,NA,NA,NA,"DEWA","Sap_Dens_FRAX"
"Slope",-0.000196920138852575,NA,NA,NA,"DEWA","Sap_Dens_FRAX"
"c1_response",0.00104057258095279,NA,NA,NA,"DEWA","Sap_Dens_FRAX"
"c2_response",0.000843652442100215,NA,NA,NA,"DEWA","Sap_Dens_FRAX"
"c3_response",0.00064673230324764,NA,NA,NA,"DEWA","Sap_Dens_FRAX"
"Intercept",0.0038645128294307,0.000620665342828583,0.00778114257894189,1000,"DEWA","Sap_Dens_FAGGRA"
"Slope",0.00148881178393571,0.00000113851280882154,0.00327142263539218,1000,"DEWA","Sap_Dens_FAGGRA"
"c1_response",0.00535332461336641,0.00168902948147543,0.00989310901694021,1000,"DEWA","Sap_Dens_FAGGRA"
"c2_response",0.00684213639730212,0.00236046190937004,0.0124471947468008,1000,"DEWA","Sap_Dens_FAGGRA"
"c3_response",0.00833094818123782,0.00292660710364853,0.0150781634442519,1000,"DEWA","Sap_Dens_FAGGRA"
"Intercept",0.00266456792614912,NA,NA,NA,"DEWA","Sap_Dens_TSUCAN"
"Slope",-0.000292294008941801,NA,NA,NA,"DEWA","Sap_Dens_TSUCAN"
"c1_response",0.00237227391720732,NA,NA,NA,"DEWA","Sap_Dens_TSUCAN"
"c2_response",0.00207997990826552,NA,NA,NA,"DEWA","Sap_Dens_TSUCAN"
"c3_response",0.00178768589932372,NA,NA,NA,"DEWA","Sap_Dens_TSUCAN"
"Intercept",NA,NA,NA,NA,"DEWA","Sap_Dens_ASITRI"
"Slope",NA,NA,NA,NA,"DEWA","Sap_Dens_ASITRI"
"c1_response",NA,NA,NA,NA,"DEWA","Sap_Dens_ASITRI"
"c2_response",NA,NA,NA,NA,"DEWA","Sap_Dens_ASITRI"
"c3_response",NA,NA,NA,NA,"DEWA","Sap_Dens_ASITRI"
"Intercept",0.00727200821705348,-0.0104974633875704,0.0287715764834481,1000,"DEWA","Seed_Dens_FRAX"
"Slope",0.0169694421345876,0.00443439147058189,0.0319498890610434,1000,"DEWA","Seed_Dens_FRAX"
